,bandwidth
0,1358784
1,4281248
2,5022648
3,4949208
4,4573064
5,4116792
6,3824276
7,5095440
8,4983556
9,3893024
10,4184192
11,6572848
12,4115444
13,4933680
14,5009324
15,4951048
16,5146016
17,4520492
18,4691688
19,4329388
20,4257736
21,4744596
22,5011864
23,4937724
24,4208456
25,4511108
26,3395560
27,3721828
28,4081900
29,3925868
30,2313168
31,4854408
32,4734564
33,4269116
34,4590356
35,4301156
36,4396220
37,2277572
38,1763184
39,1818452
40,2391352
41,3026260
42,3800012
43,3016084
44,3110576
45,2299688
46,2594900
47,2470884
48,2656908
49,3374744
50,2790360
51,2644880
52,2417508
53,3731264
54,3257468
55,3378736
56,3107140
57,3259464
58,3964468
59,3370000
60,2782272
61,2972340
62,3620728
63,3398308
64,4242156
65,1771272
66,5325948
67,3303948
68,4474012
69,2948076
70,1798232
71,1560984
72,1484148
73,1698480
74,2186456
75,3359216
76,48140
77,4378692
78,5123748
79,4192280
80,4277204
81,3498916
82,3222212
83,3229808
84,3870108
85,4459184
86,4451176
87,3830936
88,4079256
89,4475204
90,4350800
91,4911256
92,3969860
93,3448184
94,4265072
95,4084440
96,4507712
97,3693520
98,4228676
99,3759572
100,4034884
101,4216872
102,3758224
103,3883588
104,4201768
105,4391240
106,4662524
107,3708348
108,3790576
109,3360772
110,2910124
111,2824328
112,3608044
113,3105376
114,3196912
115,3054412
116,3845844
117,3456272
118,2829452
119,3347084
120,2698308
121,3440484
122,3200956
123,3723720
124,3919984
125,2805188
126,3549284
127,3744744
128,3818288
129,3867308
130,3831016
131,4035912
132,3831984
133,4327460
134,4854148
135,4078036
136,4101628
137,3692872
138,3603852
139,2264640
140,4073472
141,900888
142,5765156
143,3856656
144,4135404
145,4027536
146,4155056
147,4302816
148,4060336
149,4132808
150,3751344
151,4448256
152,4373948
153,3258712
154,3037044
155,4341172
156,4086524
157,3539848
158,3791276
159,4003824
160,3711144
161,1019904
162,4464640
163,6227164
164,3291816
165,4571676
166,3846144
167,4697228
168,3673936
169,3449240
170,3949668
171,3586048
172,6977536
173,4116756
174,3633496
175,3374264
